Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,possibly_sensitive,quoted_status_permalink,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
"#ruleoflaw","#ruleoflaw","<[2020-10-15T20:21:45.816Z, 2020-10-15T20:22:31.489Z, 2020-10-15T20:23:58.423Z, 2020-10-15T20:33:54.006Z, 2020-10-15T20:44:03.298Z, 2020-10-15T20:49:02.747Z, 2020-10-15T21:05:52.720Z, 2020-10-15T21:10:44.356Z, 2020-10-15T21:17:28.762Z]>",Hashtag,,,,,,,,,,,,,,,,,,,,,2,0.511628,0.522727,0,26
"#amyconeybarrett","#amyconeybarrett","<[2020-10-15T20:21:45.816Z, 2020-10-15T20:22:21.786Z, 2020-10-15T20:22:31.489Z, 2020-10-15T20:23:19.736Z, 2020-10-15T20:23:34.560Z, 2020-10-15T20:23:58.423Z, 2020-10-15T20:26:57.188Z, 2020-10-15T20:29:04.614Z, 2020-10-15T20:29:39.436Z, 2020-10-15T20:33:15.974Z, 2020-10-15T20:33:23.074Z, 2020-10-15T20:33:25.327Z, 2020-10-15T20:33:29.990Z, 2020-10-15T20:33:54.006Z, 2020-10-15T20:36:03.718Z, 2020-10-15T20:36:54.563Z, 2020-10-15T20:36:57.777Z, 2020-10-15T20:38:12.850Z, 2020-10-15T20:38:12.935Z, 2020-10-15T20:38:44.312Z, 2020-10-15T20:39:28.965Z, 2020-10-15T20:40:06.472Z, 2020-10-15T20:40:12.554Z, 2020-10-15T20:40:59.845Z, 2020-10-15T20:41:12.508Z, 2020-10-15T20:41:14.685Z, 2020-10-15T20:41:18.865Z, 2020-10-15T20:41:37.871Z, 2020-10-15T20:41:43.018Z, 2020-10-15T20:42:21.411Z, 2020-10-15T20:43:05.423Z, 2020-10-15T20:43:19.225Z, 2020-10-15T20:43:30.787Z, 2020-10-15T20:44:03.298Z, 2020-10-15T20:44:46.240Z, 2020-10-15T20:44:49.763Z, 2020-10-15T20:44:55.686Z, 2020-10-15T20:46:22.308Z, 2020-10-15T20:47:39.882Z, 2020-10-15T20:47:54.086Z, 2020-10-15T20:48:52.950Z, 2020-10-15T20:49:02.747Z, 2020-10-15T20:49:14.086Z, 2020-10-15T20:50:01.014Z, 2020-10-15T20:50:23.945Z, 2020-10-15T20:50:26.263Z, 2020-10-15T20:50:43.975Z, 2020-10-15T20:52:17.259Z, 2020-10-15T20:53:03.587Z, 2020-10-15T20:55:16.651Z, 2020-10-15T20:57:28.456Z, 2020-10-15T21:00:24.403Z, 2020-10-15T21:00:41.291Z, 2020-10-15T21:01:35.871Z, 2020-10-15T21:04:37.412Z, 2020-10-15T21:05:48.288Z, 2020-10-15T21:05:52.720Z, 2020-10-15T21:07:10.823Z, 2020-10-15T21:07:45.835Z, 2020-10-15T21:08:14.518Z, 2020-10-15T21:08:41.545Z, 2020-10-15T21:10:28.902Z, 2020-10-15T21:10:44.356Z, 2020-10-15T21:11:43.517Z, 2020-10-15T21:13:25.369Z, 2020-10-15T21:14:18.407Z, 2020-10-15T21:14:30.856Z, 2020-10-15T21:14:33.948Z, 2020-10-15T21:15:17.322Z, 2020-10-15T21:17:28.762Z, 2020-10-15T21:17:39.780Z, 2020-10-15T21:17:51.461Z, 2020-10-15T21:17:51.601Z]>",Hashtag,,,,,,,,,,,,,,,,,,,,,1,1,1,137,26
"#votebluedownballot","#votebluedownballot","<[2020-10-15T20:22:06.514Z, 2020-10-15T20:37:21.538Z, 2020-10-15T21:04:14.492Z, 2020-10-15T21:15:43.991Z]>",Hashtag,,,,,,,,,,,,,,,,,,,,,1,1,1,0,16
"#trumpvirus","#trumpvirus",<[2020-10-15T20:22:06.514Z]>,Hashtag,,,,,,,,,,,,,,,,,,,,,1,1,1,0,16
"#foxnews","#foxnews",<[2020-10-15T20:22:07.653Z]>,Hashtag,,,,,,,,,,,,,,,,,,,,,1,1,1,0,10
"#scotushearings","#scotushearings","<[2020-10-15T20:22:07.653Z, 2020-10-15T20:25:38.608Z, 2020-10-15T20:33:23.074Z, 2020-10-15T20:33:54.161Z, 2020-10-15T20:40:50.078Z, 2020-10-15T20:44:33.493Z, 2020-10-15T20:44:46.240Z, 2020-10-15T20:47:19.774Z, 2020-10-15T20:47:32.253Z, 2020-10-15T20:47:36.057Z, 2020-10-15T20:47:46.212Z, 2020-10-15T20:48:36.957Z, 2020-10-15T20:49:45.412Z, 2020-10-15T20:49:59.846Z, 2020-10-15T20:50:02.295Z, 2020-10-15T20:50:27.053Z, 2020-10-15T20:52:06.400Z, 2020-10-15T20:52:12.407Z, 2020-10-15T20:52:49.148Z, 2020-10-15T20:56:19.340Z, 2020-10-15T20:56:49.165Z, 2020-10-15T21:00:06.279Z, 2020-10-15T21:01:13.650Z, 2020-10-15T21:08:37.313Z, 2020-10-15T21:15:17.322Z]>",Hashtag,,,,,,,,,,,,,,,,,,,,,1,1,1,0,10
"#jaimeharrison","#jaimeharrison","<[2020-10-15T20:22:08.672Z, 2020-10-15T21:17:39.177Z]>",Hashtag,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0
"#covid_19","#covid_19",<[2020-10-15T20:22:08.672Z]>,Hashtag,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0
"#trump","#trump","<[2020-10-15T20:22:20.186Z, 2020-10-15T20:28:29.185Z, 2020-10-15T20:29:53.569Z, 2020-10-15T20:33:54.161Z, 2020-10-15T20:36:54.563Z, 2020-10-15T20:42:21.411Z, 2020-10-15T20:44:55.686Z, 2020-10-15T20:52:21.101Z, 2020-10-15T20:58:07.403Z, 2020-10-15T21:04:52.482Z, 2020-10-15T21:13:22.139Z, 2020-10-15T21:13:49.828Z]>",Hashtag,,,,,,,,,,,,,,,,,,,,,1,1,1,0,17
"#lyndseygraham","#lyndseygraham",<[2020-10-15T20:22:20.186Z]>,Hashtag,,,,,,,,,,,,,,,,,,,,,1,1,1,0,17
"#ca37","#ca37",<[2020-10-15T20:22:20.761Z]>,Hashtag,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1
"#capolitics","#capolitics","<[2020-10-15T20:22:20.761Z, 2020-10-15T21:05:36.067Z]>",Hashtag,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1
"#capol","#capol","<[2020-10-15T20:22:20.761Z, 2020-10-15T21:05:36.067Z]>",Hashtag,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1
"#lgbtq","#lgbtq","<[2020-10-15T20:22:21.786Z, 2020-10-15T20:48:13.751Z]>",Hashtag,,,,,,,,,,,,,,,,,,,,,2,0.52381,0.545455,0,5
"#dumphate","#dumphate",<[2020-10-15T20:22:21.786Z]>,Hashtag,,,,,,,,,,,,,,,,,,,,,2,0.52381,0.545455,0,5
"#rbg","#rbg","<[2020-10-15T20:22:24.044Z, 2020-10-15T20:30:16.641Z, 2020-10-15T20:36:17.520Z, 2020-10-15T21:13:13.059Z, 2020-10-15T21:13:25.369Z, 2020-10-15T21:17:51.461Z]>",Hashtag,,,,,,,,,,,,,,,,,,,,,1,1,1,0,19
