Source,Target,Type,Id,Label,timeset,Weight
"#ruleoflaw","#amyconeybarrett",Undirected,0,,"<[2020-10-15T20:21:45.816Z, 2020-10-15T20:22:31.489Z, 2020-10-15T20:23:58.423Z, 2020-10-15T20:33:54.006Z, 2020-10-15T20:44:03.298Z, 2020-10-15T20:49:02.747Z, 2020-10-15T21:05:52.720Z, 2020-10-15T21:10:44.356Z, 2020-10-15T21:17:28.762Z]>",18
"#votebluedownballot","#trumpvirus",Undirected,1,,<[2020-10-15T20:22:06.514Z]>,2
"#foxnews","#scotushearings",Undirected,2,,<[2020-10-15T20:22:07.653Z]>,2
"#jaimeharrison","#covid_19",Undirected,3,,<[2020-10-15T20:22:08.672Z]>,2
"#trump","#lyndseygraham",Undirected,4,,<[2020-10-15T20:22:20.186Z]>,2
"#ca37","#capolitics",Undirected,5,,<[2020-10-15T20:22:20.761Z]>,2
"#ca37","#capol",Undirected,6,,<[2020-10-15T20:22:20.761Z]>,2
"#capolitics","#capol",Undirected,7,,"<[2020-10-15T20:22:20.761Z, 2020-10-15T21:05:36.067Z]>",4
"#amyconeybarrett","#lgbtq",Undirected,8,,<[2020-10-15T20:22:21.786Z]>,2
"#amyconeybarrett","#dumphate",Undirected,9,,<[2020-10-15T20:22:21.786Z]>,2
"#lgbtq","#dumphate",Undirected,10,,<[2020-10-15T20:22:21.786Z]>,2
"#rbg","#freedomtoprotest",Undirected,11,,<[2020-10-15T20:22:24.044Z]>,2
"#repuglicans","#fredsfailure",Undirected,12,,<[2020-10-15T20:22:45.230Z]>,2
"#reproductivefreedom","#roeact",Undirected,13,,<[2020-10-15T20:22:48.557Z]>,2
"#reproductivefreedom","#backbecca",Undirected,14,,<[2020-10-15T20:22:48.557Z]>,2
"#roeact","#backbecca",Undirected,15,,<[2020-10-15T20:22:48.557Z]>,2
"#truthbrigade","#wtpblue",Undirected,16,,"<[2020-10-15T20:22:59.461Z, 2020-10-15T21:14:41.908Z]>",4
"#truthbrigade","#onev1",Undirected,17,,"<[2020-10-15T20:22:59.461Z, 2020-10-15T21:14:41.908Z]>",4
"#truthbrigade","#demvoice1",Undirected,18,,"<[2020-10-15T20:22:59.461Z, 2020-10-15T21:14:41.908Z]>",4
"#truthbrigade","#bethechange4usa",Undirected,19,,"<[2020-10-15T20:22:59.461Z, 2020-10-15T21:14:41.908Z]>",4
"#wtpblue","#onev1",Undirected,20,,"<[2020-10-15T20:22:59.461Z, 2020-10-15T21:14:41.908Z]>",4
"#wtpblue","#demvoice1",Undirected,21,,"<[2020-10-15T20:22:59.461Z, 2020-10-15T21:14:41.908Z]>",4
"#wtpblue","#bethechange4usa",Undirected,22,,"<[2020-10-15T20:22:59.461Z, 2020-10-15T21:14:41.908Z]>",4
"#onev1","#demvoice1",Undirected,23,,"<[2020-10-15T20:22:59.461Z, 2020-10-15T21:14:41.908Z]>",4
"#onev1","#bethechange4usa",Undirected,24,,"<[2020-10-15T20:22:59.461Z, 2020-10-15T21:14:41.908Z]>",4
"#demvoice1","#bethechange4usa",Undirected,25,,"<[2020-10-15T20:22:59.461Z, 2020-10-15T21:14:41.908Z]>",4
"#daylightsavingstime","#daylightsavings",Undirected,26,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#daylightsavingstime","#amyconeybarrett",Undirected,27,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#daylightsavingstime","#aca",Undirected,28,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#daylightsavingstime","#affordablecareact",Undirected,29,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#daylightsavingstime","#roevwade",Undirected,30,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#daylightsavingstime","#abortion",Undirected,31,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#daylightsavings","#amyconeybarrett",Undirected,32,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#daylightsavings","#aca",Undirected,33,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#daylightsavings","#affordablecareact",Undirected,34,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#daylightsavings","#roevwade",Undirected,35,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#daylightsavings","#abortion",Undirected,36,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#amyconeybarrett","#aca",Undirected,37,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#amyconeybarrett","#affordablecareact",Undirected,38,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#amyconeybarrett","#roevwade",Undirected,39,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#amyconeybarrett","#abortion",Undirected,40,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#aca","#affordablecareact",Undirected,41,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#aca","#roevwade",Undirected,42,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#aca","#abortion",Undirected,43,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#affordablecareact","#roevwade",Undirected,44,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#affordablecareact","#abortion",Undirected,45,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#roevwade","#abortion",Undirected,46,,"<[2020-10-15T20:23:19.736Z, 2020-10-15T20:26:57.188Z]>",4
"#true","#american",Undirected,47,,<[2020-10-15T20:23:34.560Z]>,2
"#true","#leadership",Undirected,48,,<[2020-10-15T20:23:34.560Z]>,2
"#true","#compassionate",Undirected,49,,<[2020-10-15T20:23:34.560Z]>,2
"#true","#leaders",Undirected,50,,<[2020-10-15T20:23:34.560Z]>,2
"#true","#incredible",Undirected,51,,<[2020-10-15T20:23:34.560Z]>,2
"#true","#republicans",Undirected,52,,<[2020-10-15T20:23:34.560Z]>,2
"#true","#rock",Undirected,53,,<[2020-10-15T20:23:34.560Z]>,2
"#true","#please",Undirected,54,,<[2020-10-15T20:23:34.560Z]>,2
"#true","#confirmacb",Undirected,55,,<[2020-10-15T20:23:34.560Z]>,2
"#true","#thanks",Undirected,56,,<[2020-10-15T20:23:34.560Z]>,2
"#true","#amyconeybarrett",Undirected,57,,<[2020-10-15T20:23:34.560Z]>,2
"#true","#future",Undirected,58,,<[2020-10-15T20:23:34.560Z]>,2
"#true","#usa",Undirected,59,,<[2020-10-15T20:23:34.560Z]>,2
"#american","#leadership",Undirected,60,,<[2020-10-15T20:23:34.560Z]>,2
"#american","#compassionate",Undirected,61,,<[2020-10-15T20:23:34.560Z]>,2
"#american","#leaders",Undirected,62,,<[2020-10-15T20:23:34.560Z]>,2
"#american","#incredible",Undirected,63,,<[2020-10-15T20:23:34.560Z]>,2
"#american","#republicans",Undirected,64,,<[2020-10-15T20:23:34.560Z]>,2
"#american","#rock",Undirected,65,,<[2020-10-15T20:23:34.560Z]>,2
"#american","#please",Undirected,66,,<[2020-10-15T20:23:34.560Z]>,2
"#american","#confirmacb",Undirected,67,,<[2020-10-15T20:23:34.560Z]>,2
"#american","#thanks",Undirected,68,,<[2020-10-15T20:23:34.560Z]>,2
"#american","#amyconeybarrett",Undirected,69,,<[2020-10-15T20:23:34.560Z]>,2
"#american","#future",Undirected,70,,<[2020-10-15T20:23:34.560Z]>,2
"#american","#usa",Undirected,71,,<[2020-10-15T20:23:34.560Z]>,2
"#leadership","#compassionate",Undirected,72,,<[2020-10-15T20:23:34.560Z]>,2
"#leadership","#leaders",Undirected,73,,<[2020-10-15T20:23:34.560Z]>,2
"#leadership","#incredible",Undirected,74,,<[2020-10-15T20:23:34.560Z]>,2
"#leadership","#republicans",Undirected,75,,<[2020-10-15T20:23:34.560Z]>,2
"#leadership","#rock",Undirected,76,,<[2020-10-15T20:23:34.560Z]>,2
"#leadership","#please",Undirected,77,,<[2020-10-15T20:23:34.560Z]>,2
"#leadership","#confirmacb",Undirected,78,,<[2020-10-15T20:23:34.560Z]>,2
